<트레바리 놀러가기 책 목록>
Updated on 7월 28일

"월든" 	(넷토, 안국 7월 28일)
"관계" 	(북씨-골드, 압구정 8월 4일)
"원칙" 	(첫일, 안국 8월 5일)
"말이 칼이 될 때" 	(17, 압구정 8월 5일)
"네가 누구든 얼마나 외롭든" 	(북씨-빨강, 안국 8월 5일)
"밤에 우리 영혼은" 	(문-블루, 압구정 8월 5일)
"당신에게 말을 건다: 속초 동아서점 이야기" 	(독립출판 독립서점, 안국 8월 5일)
"기획자의 습관" 	(사이드 프로젝트-블랙, 압구정 8월 5일)
"헛된 기다림" 	(세계-문학, 안국 8월 5일)
"죽음의 수용소에서" 	(사피엔스의 미래, 압구정 8월 8일)
"스타벅스 경험 마케팅" 	(외.식.업, 안국 8월 8일)
"백년식당" 	(미식입문-압구정, 압구정 8월 8일)
"여덟 단어" 	(씀-안국, 안국 8월 8일)
"정해진 미래 시장의 기회" 	(EX-IT, 안국 8월 8일)
"달콤 쌉싸름한 초콜릿" 	(문-블랙, 압구정 8월 8일)
"매거진 B(Magazine B) No.68: Instagram(한글판), 매거진 B(Magazine B) No.62: Moleskine(한글판)" 	(마케팅-실버, 압구정 8월 8일)
"왜 나는 너를 사랑하는가" 	(둘수, 안국 8월 8일)
"야구기록과 기록 사이" 	(야구야구-안국, 안국 8월 8일)
"머니볼(Money Ball)" 	(넘버스, 압구정 8월 9일)
"나를 지키며 일하는 법, 모두 거짓말을 한다" 	(어떤혁명_ 시즌 3: 어떤 미래, 압구정 8월 9일)
"[비밀독서단] 존재의 세 가지 거짓말" 	(둘목, 안국 8월 9일)
"원칙" 	(인생경영, 회사경영, 안국 8월 10일)
"일 따위를 삶의 보람으로 삼지 마라" 	(회사인간, 안국 8월 10일)
"전부였던 사람이 떠나갔을 때 태연히 밥을 먹기도 했다" 	(럽럽, 압구정 8월 10일)
"FIP, BABIP, WRC+" 	(야구야구, 압구정 8월 10일)
"당신 인생의 이야기" 	(왜애, 압구정 8월 10일)
"차이와 반복" 	(사상가들, 안국 8월 10일)
"사랑의 생애" 	(북씨-블루, 압구정 8월 10일)
"녹턴" 	(문-라임, 압구정 8월 10일)
"나는 나쁜 장애인이고 싶다" 	(국내이슈, 압구정 8월 11일)
"자기다움" 	(마케팅-파랑, 안국 8월 11일)
"기하급수 시대가 온다" 	(창업가연습, 안국 8월 11일)
"미술관에 간 화학자" 	(과학의시선, 압구정 8월 11일)
"행복의 정복" 	(둘토, 안국 8월 11일)
"승리의 기술" 	(월드이슈골드, 압구정 8월 11일)
"암호화폐, 그 이후" 	(인간과 기술-안국, 안국 8월 11일)
"백년식당" 	(미식입문, 안국 8월 11일)
"우리도 행복할 수 있을까" 	(26, 압구정 8월 11일)
"니콜로 마키아벨리 군주론" 	(진진-레드, 압구정 8월 11일)
"질문지능" 	(인터뷰어, 안국 8월 12일)
"행복의 기원" 	(27, 압구정 8월 12일)
"한국이 싫어서, 주토피아" 	(북씨-라임, 압구정 8월 12일)
"드라이빙 미스 노마" 	(둘일, 안국 8월 12일)
"페미니즘을 팝니다" 	(GD, 압구정 8월 12일)
"구토" 	(진진F, 안국 8월 12일)
"Lean in" 	(잉잉, 압구정 8월 12일)
"열두 발자국" 	(뇽-핑크, 압구정 8월 12일)
"종의 기원" 	(프로파일러-압구정, 압구정 8월 12일)
"프루프" 	(음주입문, 안국 8월 12일)
"당선, 합격, 계급" 	(자녀교육, 압구정 8월 15일)
"최고의 팀은 무엇이 다른가" 	(제품/서비스 기획자들, 안국 8월 15일)
"개인주의자 선언" 	(북씨-블랙, 압구정 8월 15일)
"사피엔스" 	(닝겐, 압구정 8월 16일)
"새벽 세시, 바람이 부나요?" 	(나초-안국, 안국 8월 16일)
"바른 마음" 	(34, 압구정 8월 16일)
"말이 칼이 될 때" 	(민주주잉, 안국 8월 17일)
"프로파일러 노트" 	(프로파일러, 안국 8월 17일)
"그녀들의, 프랑스식, 연애, 미쓰 마마" 	(북큐-퍼플, 압구정 8월 17일)
"술 잡학사전" 	(식식-그린, 압구정 8월 17일)
"순환 장세의 주도주를 잡아라(개정증보판)" 	(커먼스탁, 안국 8월 17일)
"어디서 살 것인가" 	(내 집 짓기, 안국 8월 17일)
"왜 나는 너를 사랑하는가" 	(셋토, 안국 8월 18일)
"비혼입니다만, 그게 어쨌다구요?!" 	(GD-안국, 안국 8월 18일)
"대량살상 수학무기" 	(TED읽기, 안국 8월 18일)
"모두 거짓말을 한다" 	(36, 압구정 8월 18일)
"혐오사회" 	(국내이슈-빨강, 안국 8월 18일)
"더 클래식 2권 - 슈베르트에서 브람스까지" 	(쿠르베C, 쿠르베 청음실2018년 8월)
"곤란한 결혼-타인과 함께 사는 그 난감함에 대하여" 	(부부사기단, 안국 8월 18일)
"프랑켄슈타인" 	(북 뮤지컬, 안국 8월 18일)
"가난의 시대, 떠나지 못하는 사람들" 	(서울답사, 압구정 8월 18일)
"타인의 고통, 엄청나게 시끄럽고 믿을 수 없게 가까운" 	(R.O.D, 압구정 8월 18일)
"아날로그의 반격" 	(브사세, 압구정 8월 19일)
"나는 유령작가입니다" 	(작가들-안국, 안국 8월 19일)
"해리 오거스트의 열다섯 번째 삶" 	(SciFi-안국, 안국 8월 19일)
"맥도날드 그리고 맥도날드화, 힙한 생활 혁명" 	(미국 문화 딥다이브, 안국 8월 19일)
"스프린트" 	(직장인, 안국 8월 19일)
"속죄, 어톤먼트" 	(북씨-노랑, 안국 8월 19일)
"발상" 	(워너원, 압구정 8월 19일)
"세일즈맨의 죽음" 	(옛책, 압구정 8월 19일)
"녹턴" 	(37, 압구정 8월 19일)
"김이나의 작사법" 	(씀-골드, 압구정 8월 19일)
"팍스, 가장 자유로운 결혼" 	(북씨-옐로, 압구정 8월 19일)
"넷플릭스하다" 	(뉴미디어, 압구정 8월 22일)
"위대한 탈출(개정판)" 	(이콘-행동경제, 압구정 8월 23일)
"노포의 장사법" 	(논픽션, 안국 8월 23일)
"구토" 	(진진-블루, 압구정 8월 23일)
"인포메이션" 	(포스, 압구정 8월 24일)
"글쓰기의 최전선" 	(쓰는인간, 안국 8월 24일)
"네 이웃의 식탁(오늘의 젊은 작가 19), 아픔이 길이 되려면" 	(문학X비문학-안국, 안국 8월 26일)
"피로사회, 편의점 인간" 	(문학X비문학, 압구정 8월 26일)
"제9회 젊은작가상 수상작품집(2018)" 	(씀-화이트, 압구정 8월 26일)
"우리는 사랑일까" 	(책바 살롱, 압구정 8월 26일)
"위대한 기업에 투자하라" 	(돈돈, 안국 8월 26일)
"원칙" 	(임팩트, 안국 8월 26일)
"내가 죽어 누워 있을 때" 	(세인트존스 고전읽기, 압구정 8월 26일)
"나음보다 다름" 	(마케팅-16, 성수 9월 1일)
"당선, 합격, 계급" 	(16, 압구정 9월 1일)
"개인주의자 선언" 	(첫토, 안국 9월 1일)
"옷장 속 인문학" 	(패셔너블, 안국 9월 1일)
"에브리맨" 	(문-보라, 안국 9월 1일)
"왜 나는 너를 사랑하는가, 영화: 500일의 썸머" 	(북씨-골드, 압구정 9월 1일)
"자전거 여행 1" 	(체험독서-첫토, 안국 9월 1일)
"경애의 마음" 	(문-그린, 압구정 9월 1일)
"열두 발자국" 	(무경계-16, 성수 9월 1일)
"나르치스와 골드문트" 	(문-16, 성수 9월 1일)
"스푸트니크의 연인, 영화: 화양연화" 	(북씨-빨강, 안국 9월 2일)
" 서울의 3년 이하 서점들 : 솔직히 책이 정말 팔릴 거라 생각했나?" 	(독립출판 독립서점, 안국 9월 2일)
"어디서 살 것인가" 	(첫일, 안국 9월 2일)
"농담" 	(17, 압구정 9월 2일)
"맥스 테그마크의 라이프 3.0, TED영상: <톰 그루버 : 인공지능이 우리의 기억력, 일과 사회생활을 향상시키는 방법>, TED영상: <닉 보스트롬 : 컴퓨터가 인류보다 똑똑해진다면 무슨 일이 벌어질까>" 	(TED읽기-17, 압구정 9월 2일)
"달콤 쌉싸름한 초콜릿" 	(문-블루, 압구정 9월 2일)
"죽고 싶지만 떡볶이는 먹고 싶어" 	(무경계-17, 성수 9월 2일)
"디자인의 디자인(10주년 기념판)(한정판)" 	(단순클럽, 안국 9월 2일)
"모래의 여자" 	(세계-문학, 안국 9월 2일)
"1984" 	(문-17, 성수 9월 2일)
"창업의 시대, 브루독 이야기" 	(오래된 산업에서의 창업과 혁신, 성수 9월 5일)
"이렇게 작지만 확실한 행복" 	(무라카미즈 시즌1., 안국 9월 5일)
"내게 무해한 사람" 	(무경계-13, 성수 9월 5일)
"넛지" 	(14, 압구정 9월 6일)
"이제껏 배운 그래픽 디자인 규칙은 다 잊어라. 이 책에 실린 것까지." 	(대충문화읽기, 안국 9월 6일)
"개인주의자 선언" 	(첫목, 안국 9월 6일)
"카오스멍키" 	(스타텁-블랙, 압구정 9월 7일)
"고독의 위로" 	(마음-레드, 압구정 9월 7일)
"메인스트림" 	(진격의20세기, 안국 9월 7일)
"왜 나는 너를 사랑하는가" 	(15, 압구정 9월 7일)
"경험 디자인 교과서" 	(UXers, 안국 9월 7일)
"무지개떡 건축, 회색 도시의 미래" 	(그래, 도시!, 안국 9월 7일)
"나쁜 소녀의 짓궂음" 	(문-옐로, 압구정 9월 7일)
"어디서 살 것인가" 	(첫금, 안국 9월 7일)
"셜록 홈즈 전집. 1: 진홍색 연구, 셜록 홈즈 전집. 5: 바스커빌 가의 사냥개" 	(셜록-26, 성수 9월 8일)
"티핑 포인트" 	(디지털콘텐츠+비즈니스, 성수 9월 8일)
"소년이 온다" 	(26, 압구정 9월 8일)
"미 비포 유, 영화: 미 비포 유" 	(북씨-파랑, 안국 9월 8일)
"걸리버 여행기" 	(진진-레드, 압구정 9월 8일)
"플랫폼 전쟁" 	(차이나스토리, 안국 9월 8일)
"숨결이 바람 될 때" 	(둘토, 안국 9월 8일)
"이방인" 	(무경계-26, 성수 9월 8일)
"끌리는 컨셉의 법칙" 	(마케팅-파랑, 안국 9월 8일)
"린 스타트업" 	(스타텁-26, 성수 9월 8일)
"내 이름은 욤비" 	(국내이슈, 압구정 9월 8일)
"열두 발자국" 	(인간과기술-둘토, 안국 9월 8일)
"The Giver" 	(잉잉-둘토, 안국 9월 8일)
"유럽 낙태 여행" 	(월드이슈-26, 압구정 9월 8일)
"나는 직원 없이도 10억 번다" 	(창업가들, 성수 9월 9일)
"하루의 취향" 	(27, 압구정 9월 9일)
"내가 보이니" 	(프로파일러-27, 압구정 9월 9일)
"City of Glass" 	(잉잉-27, 압구정 9월 9일)
"이기적 섹스" 	(GD-27, 압구정 9월 9일)
"내 안에서 나를 만드는 것들" 	(진진F, 안국 9월 9일)
"바람의 노래를 들어라" 	(문-27, 성수 9월 9일)
"클린" 	(헬시어, 안국 9월 9일)
"유럽의 그림책 작가들에게 묻다" 	(인터뷰어, 안국 9월 9일)
"아몬드" 	(둘일, 안국 9월 9일)
"개인주의자 선언, 영화: 내일을 위한 시간" 	(북씨-27, 성수 9월 9일)
"살인자의 기억법, 영화: 메멘토" 	(북씨-라임, 압구정 9월 9일)
"인공지능 시대가 두려운 사람들에게" 	(인간과기술-27, 압구정 9월 9일)
"한국이 싫어서" 	(무경계-27, 성수 9월 9일)
"인간 실격" 	(문-블랙, 압구정 9월 12일)
"마케터의 일" 	(마케팅-실버, 압구정 9월 12일)
"직업으로서의 소설가" 	(씀-둘수, 안국 9월 12일)
"나는 왜 쓰는가" 	(씀-23, 성수 9월 12일)
"업스타트" 	(EX-IT, 안국 9월 12일)
"도덕의 궤적" 	(사피엔스의미래, 압구정 9월 12일)
"수상한 에이스는 유니폼이 없다" 	(야구야구-둘수, 안국 9월 12일)
"참을 수 없는 존재의 가벼움" 	(둘수, 안국 9월 12일)
"그리스인 조르바(열린책들세계문학21)" 	(진진-23, 성수 9월 12일)
"어느새 운동할 나이가 되었네요" 	(사이드프로젝트-24, 성수 9월 13일)
"운명과 분노" 	(둘목, 안국 9월 13일)
"제9회 젊은작가상 수상작품집(2018)" 	(수상한문학, 안국 9월 13일)
"이갈리아의 딸들" 	(24, 압구정 9월 13일)
"책 잘 읽는 방법" 	(무경계-25, 성수 9월 14일)
"5가지 사랑의 언어(개정판)" 	(럽럽, 압구정 9월 14일)
"트리거(Triggers)" 	(인생경영, 회사경영, 안국 9월 14일)
"수상한 에이스는 유니폼이 없다" 	(야구야구-25, 압구정 9월 14일)
"문장 수집 생활" 	(씀에세이, 안국 9월 14일)
"푸코, 바르트, 레비스트로스, 라캉 쉽게 읽기" 	(사상가들, 안국 9월 14일)
"참을 수 없는 존재의 가벼움" 	(문-25, 성수 9월 14일)
"예감은 틀리지 않는다" 	(둘금, 안국 9월 14일)
"노동에 대한 새로운 철학" 	(회사인간, 안국 9월 14일)
"우아한 관찰주의자, 셜록 홈즈" 	(북씨-블루, 압구정 9월 14일)
"아이, 로봇" 	(SciFi-25, 압구정 9월 14일)
"빵굽는 타자기" 	(왜애, 압구정 9월 14일)
"그로스 해킹" 	(디지털마케터즈, 압구정 9월 14일)
"요노스케 이야기" 	(문-라임, 압구정 9월 14일)
"초솔로사회" 	(국내이슈-25, 성수 9월 14일)
"유럽의 그림책 작가들에게 묻다" 	(사이드프로젝트-빨강, 안국 9월 15일)
"교과서 전래 동화. 1" 	(동화속세상, 성수 9월 15일)
"구글의 미래, TED영상: <구글의 기원(The Genesis of Google)>" 	(TED읽기-셋토, 안국 9월 15일)
"지금 여기의 페미니즘X민주주의" 	(GD-셋토, 안국 9월 15일)
"내 가게로 퇴근합니다" 	(사이드프로젝트-36, 성수 9월 15일)
"키다리 아저씨, 뮤지컬: 키다리 아저씨" 	(북뮤지컬, 안국 9월 15일)
"배민다움" 	(스타텁-36, 성수 9월 15일)
"재레드 다이아몬드의 나와 세계" 	(월드이슈-36, 성수 9월 15일)
"일의 기쁨과 슬픔 , TED영상: 당신이 좋아하는 일을 어떻게 찾을까" 	(사이드프로젝트-파랑, 안국 9월 15일)
"당선, 합격, 계급" 	(국내이슈-빨강, 안국 9월 15일)
"동화경제사, 콘텐츠의 미래" 	(R.O.D, 압구정 9월 15일)
"더 클래식 2권 - 슈베르트에서 브람스까지" 	(쿠르베C, 쿠르베 청음실2018년 9월)
"빅 픽처" 	(체험독서-36, 성수 9월 15일)
"원칙(PRINCIPLES)" 	(36, 압구정 9월 15일)
"국가는 왜 실패하는가" 	(국경, 성수 9월 15일)
"엄청나게 시끄럽고 믿을수 없게 가까운" 	(무경계-36, 성수 9월 15일)
"아무도편지하지않다" 	(셋토, 안국 9월 15일)
"서울 선언" 	(시민의 도시 서울을 걷다, 압구정 9월 15일)
"내게 무해한 사람" 	(문-37, 성수 9월 16일)
"오래된 연장통" 	(자연사, 안국 9월 16일)
"모두 거짓말을 한다" 	(무경계-37, 성수 9월 16일)
"지적 자본론 " 	(마케팅-퍼플, 압구정 9월 16일)
"잘돼가? 무엇이든" 	(슬로우라이프, 성수 9월 16일)
"문명, 그 길을 묻다" 	(월드이슈-37, 성수 9월 16일)
"시인 동주" 	(사람읽기, 성수 9월 16일)
"도시는 무엇으로 사는가" 	(37, 압구정 9월 16일)
"롤리타(세계문학전집 105)" 	(책바살롱, 압구정 9월 16일)
"퇴사하겠습니다" 	(셋일, 안국 9월 16일)
"데미안" 	(작가들-셋일, 안국 9월 16일)
"아픔이 길이 되려면" 	(씀-골드, 압구정 9월 16일)
"모두 거짓말을 한다, 영화: 라이어 라이어" 	(북씨-노랑, 안국 9월 16일)
"마이 시스터즈 키퍼, 영화: 마이 시스터즈 키퍼" 	(북씨-37, 성수 9월 16일)
"친밀한 이방인, 영화: 빅 피쉬" 	(북씨-옐로, 압구정 9월 16일)
"당신 인생의 이야기" 	(무경계-43, 성수 9월 18일)
"피터 드러커의 최고의 질문" 	(비즈-레드, 압구정 9월 18일)
"침묵의 봄(개정판)" 	(43, 압구정 9월 18일)
"플랫폼이 콘텐츠다" 	(뉴미디어, 압구정 9월 18일)
"취미 있는 인생, 영화: 월터의 상상은 현실이 된다" 	(북씨-레드, 압구정 9월 18일)
"운다고 달라지는 일은 아무것도 없겠지만" 	(마음-빨강, 안국 9월 18일)
"변하는 것과 변하지 않는 것" 	(마케팅-보라, 안국 9월 18일)
"훅(Hooked)" 	(제품/서비스 기획자들, 안국 9월 19일)
"모든 것이 되는 법, TED영상: Why some of us don't have one true calling" 	(셋수, 안국 9월 19일)
"협상의 법칙. 1" 	(33, 압구정 9월 19일)
"아름다운 아이(책콩어린이22), 영화: 원더" 	(북씨-하양, 안국 9월 19일)
"스타트업하고 앉아있네" 	(린-스타트업, 압구정 9월 19일)
"먹고 기도하고 사랑하라" 	(잘노는 언니, 성수 9월 19일)
"어쨌거나 마이웨이" 	(나로살기, 성수 9월 19일)
"평균의 종말" 	(자녀교육, 압구정 9월 19일)
"틈새 경제" 	(사이드프로젝트-퍼플, 압구정 9월 20일)
"침팬지 폴리틱스" 	(닝겐, 압구정 9월 20일)
"거짓말하는 착한사람들, TED 영상 <이해의 충돌을 주의하세요>" 	(TED읽기-34, 성수 9월 20일)
"빅히스토리(Big History)" 	(무경계-34, 성수 9월 20일)
"카오스멍키" 	(스타텁-퍼플, 압구정 9월 20일)
"죽음 카탈로그" 	(셋목, 안국 9월 20일)
"헌법재판소 한국 현대사를 말하다" 	(법률가들, 압구정 9월 20일)
"지지 않는다는 말" 	(34, 압구정 9월 20일)
"회색 인간(김동식 소설집 1)" 	(문-34, 성수 9월 20일)
"아픔이 길이 되려면" 	(유경험자, 압구정 9월 20일)
"말이 칼이 될 때" 	(나초-셋목, 안국 9월 20일)
"바깥은 여름" 	(무경계-35, 성수 9월 21일)
"마케터의 일" 	(마케팅-35, 성수 9월 21일)
"맥락을 팔아라" 	(셀셀, 압구정 9월 21일)
"아내가 결혼했다, 영화: 결혼은 미친 짓이다" 	(북씨-35, 성수 9월 21일)
"링크(21세기를 지배하는 네트워크 과학)" 	(데이터 사이언스의 사고와 실제, 성수 9월 21일)
"모든 게 노래, 다큐멘터리: 음악은 어떻게 우리를 사로잡는가" 	(북큐-퍼플, 압구정 9월 21일)
"노포의 장사법" 	(식식-그린, 압구정 9월 21일)
"랩걸" 	(과학의눈, 압구정 9월 21일)
"만약은 없다" 	(북씨-퍼플, 압구정 9월 21일)
"플랫폼 제국의 미래" 	(스타텁-35, 성수 9월 21일)
"협상의 법칙. 1" 	(협상의달인, 안국 9월 21일)
"나, 지금 이대로 괜찮은 사람" 	(마음-35, 성수 9월 21일)
"가만한 당신" 	(월드이슈-셋금, 안국 9월 21일)
"나를 보내지마" 	(읽을지도, 압구정 9월 21일)
"어디서 살 것인가" 	(35, 압구정 9월 21일)
"낭만적 연애와 그 후의 일상" 	(문-47, 성수 9월 23일)
"내게 무해한 사람" 	(넷목, 안국 9월 27일)
"프랑켄슈타인, 영화: 엘리펀트 맨, 영화: 셰이프 오브 워터: 사랑의 모양" 	(북씨-44, 성수 9월 27일)
"과학이 빛나는 밤에" 	(44, 압구정 9월 27일)
"시학 (양장본)" 	(진진-블루, 압구정 9월 27일)
"네 이웃의 식탁(오늘의 젊은 작가 19)" 	(문-44, 성수 9월 27일)
"데미안" 	(무경계-44, 성수 9월 27일)
"장하준의 경제학 강의" 	(이콘-44, 압구정 9월 27일)
"소셜 애니멀" 	(마음-블루, 압구정 9월 27일)
"사이언스이즈컬처" 	(포스, 압구정 9월 27일)
"점성술 살인사건, 해무도" 	(셜록, 압구정 9월 27일)
"모두 거짓말을 한다" 	(이콘-45, 성수 9월 28일)
"피프티 피플" 	(무경계-45, 성수 9월 28일)
"콘텐츠의 미래" 	(콘텐츠츠, 안국 9월 28일)
"내리막 세상에서 일하는 노마드를 위한 안내서" 	(넷금, 안국 9월 28일)
"경애의 마음" 	(45, 압구정 9월 28일)
"블록체인 무엇인가" 	(신뢰의 혁명, 블록체인의 철학, 압구정 9월 28일)
"우리는 왜 이슬람을 혐오할까?" 	(GD심화, 성수 9월 28일)
"누구도 기억하지 않는 역에서, 너의 알다가도 모를 마음(문학동네시인선 102)" 	(시밤, 안국 9월 28일)
"[책읽찌라 추천책] 완벽한 공부법" 	(계발자들, 안국 9월 28일)
"책 잘 읽는 방법" 	(독서입문, 성수 9월 28일)
"취향을 설계하는 곳, 츠타야" 	(스타텁-45, 성수 9월 28일)
"수화, 소리, 사랑해!, 영화: 미라클 벨리에" 	(북씨-45, 성수 9월 28일)
"건축학개론 기억의 공간" 	(내집짓기, 안국 9월 28일)
"백래시(BACKLASH):누가 페미니즘을 두려워하는가?" 	(백래시, 성수 9월 29일)
"암흑의 핵심" 	(문-빨강, 안국 9월 29일)
"모두 거짓말을 한다" 	(마케터즈-블랙, 압구정 9월 29일)
"당선, 합격, 계급" 	(46, 압구정 9월 29일)
"베어타운 (B컷 북커버 특별판) *배송주문 한정*" 	(문-46, 성수 9월 29일)
"맥주 상식사전" 	(맥맥, 안국 9월 29일)
"라틴어 수업" 	(삶과죽음, 안국 9월 29일)
"The Remains of the Day" 	(잉잉-46, 성수 9월 29일)
"모스크바의 신사" 	(문-ODE, ODE 9월 29일)
"어린 왕자와의 일주일" 	(무경계-46, 성수 9월 29일)
"스탠퍼드 스타트업바이블" 	(스타텁-46, 성수 9월 29일)
"이대로 괜찮습니다" 	(마음-46, 성수 9월 29일)
"사랑의 생애" 	(독토, 압구정 9월 29일)
"그 순간 대한민국이 바뀌었다, 헌법재판소 2002헌가1/2008헌가22/2012헌가17" 	(헌법읽기, 압구정 9월 29일)
"우리의 월급은 정의로운가" 	(국내이슈-46, 성수 9월 29일)
"최고의 팀은 무엇이 다른가" 	(InC, 안국 9월 29일)
"강원국의 글쓰기" 	(씀-블랙, 압구정 9월 29일)
"일본 애니메이션의 크리에이터들" 	(덕덕, 압구정 9월 29일)
"그리스인 조르바(열린책들세계문학21)" 	(넷토, 안국 9월 29일)
"말이 칼이 될 때, 영화: 개들의 섬" 	(북씨-47, 성수 9월 30일)
"시를 잊은 그대에게" 	(47, 압구정 9월 30일)
"여덟 단어" 	(씀-47, 성수 9월 30일)
"[비밀독서단] 강신주의 감정수업" 	(씀-화이트, 압구정 9월 30일)
"자기앞의 생" 	(무경계-47, 성수 9월 30일)
"쥐 The Complete Maus 합본" 	(그래픽노블, 압구정 9월 30일)
"그리스인 조르바(열린책들세계문학21)" 	(넷일, 안국 9월 30일)
"보이지 않는 도시들, 도시는 무엇으로 사는가" 	(문학X비문학-넷일, 안국 9월 30일)
"스탈린" 	(독재자들, 안국 9월 30일)
"다시, 그림이다" 	(그린이, 성수 9월 30일)
"행복만을 보았다, 행복의 기원" 	(문학X비문학-47, 압구정 9월 30일)
"니코마코스 윤리학" 	(세인트존스고전읽기, 압구정 9월 30일)

총 352 개

최신버전은 아래 링크에서 확인하세요.
https://github.com/jihuun/web_crawlers/blob/master/trevari/book_list_5-8-season.txt
